X,Y,cartodb_id,province,municipali
-3.79543995073004,40.2775343508,714,Madrid,Fuenlabrada
-3.79543995073004,40.2775343508,715,Madrid,Fuenlabrada
-3.85572831949006,40.3373058809,716,Madrid,Alcorcón
-3.90575022400009,40.271524936,717,Madrid,Arroyomolinos
-3.86355610326007,40.3031942424,718,Madrid,Móstoles
-3.86355610326007,40.3031942424,719,Madrid,Móstoles
-3.86355610326007,40.3031942424,720,Madrid,Móstoles
-3.86355610326007,40.3031942424,721,Madrid,Móstoles
-3.86355610326007,40.3031942424,722,Madrid,Móstoles
-3.85475255352006,40.3136407716,723,Madrid,Móstoles
-3.73020418007003,40.3962582578,724,Madrid,Madrid
-3.482857503,40.364771575,725,Madrid,Velilla de San Antonio
-3.9274855554301,40.3101621875,726,Madrid,Móstoles
-3.92610357699009,40.3118652967999,727,Madrid,Móstoles
-3.85306334558006,40.3226917678,728,Madrid,Móstoles
-3.85157001832006,40.3223644606,729,Madrid,Móstoles
-4.20529781988036,40.3973176731998,730,Madrid,Chapinería
-3.71928171706003,40.3228211253,731,Madrid,Getafe
-3.87057283484007,40.4755698232,732,Madrid,Majadahonda
-3.80675417851005,40.2869950705,733,Madrid,Fuenlabrada
-3.62233337084001,40.5492787206,734,Madrid,San Sebastián de los Reyes
-3.86869191991007,40.3188984203,735,Madrid,Móstoles
-3.87097202597007,40.4702440688,736,Madrid,Majadahonda
-3.87097202597007,40.4702440688,737,Madrid,Majadahonda
-3.87375059631007,40.4730387481,738,Madrid,Majadahonda
-3.75464302660003,40.3907905589,739,Madrid,Madrid
-3.83737927749006,40.3014450345,740,Madrid,Fuenlabrada
-3.86057662525007,40.4461415064,741,Madrid,Majadahonda
-3.87100250055007,40.4463624463,742,Madrid,Majadahonda
-3.86090133910007,40.4461508656,743,Madrid,Majadahonda
-3.85946886849007,40.3215406334,744,Madrid,Móstoles
-3.85944541148006,40.3213596577,745,Madrid,Móstoles
-3.85944541148006,40.3213596577,746,Madrid,Móstoles
-3.88729751622008,40.4050568699,747,Madrid,Boadilla del Monte
-3.80888415562005,40.3445974802,748,Madrid,Alcorcón
-3.80888415562005,40.3445974802,749,Madrid,Alcorcón
-3.66680689827002,40.4784817984,750,Madrid,Madrid
-3.88585150654008,40.3288906716,751,Madrid,Móstoles
-3.88582456746008,40.3283654013,752,Madrid,Móstoles
-3.88582456746008,40.3283654013,753,Madrid,Móstoles
-3.86189525422007,40.4482858125,754,Madrid,Majadahonda
-3.74561449114003,40.3850519663,755,Madrid,Madrid
-3.89604422579008,40.416505198,756,Madrid,Boadilla del Monte
-3.67678551491002,40.4326353825,757,Madrid,Madrid
-3.86857262494007,40.3317108898,758,Madrid,Móstoles
-3.71228048295002,40.4470582282,759,Madrid,Madrid
-3.83411933606006,40.3366738777,760,Madrid,Alcorcón
-3.85888897594006,40.3313100003,761,Madrid,Móstoles
-3.86530084695007,40.3204408417,762,Madrid,Móstoles
-3.89727557102008,40.4241105895,763,Madrid,Boadilla del Monte
-3.71754181029003,40.4753364399,764,Madrid,Madrid
-3.62564524252001,40.3972789037,765,Madrid,Madrid
-3.74757116375003,40.3661497015,766,Madrid,Madrid
-3.86081652900007,40.3252291858,767,Madrid,Móstoles
-3.85889219405007,40.3256566298,768,Madrid,Móstoles
-3.86075475647006,40.3253119723,769,Madrid,Móstoles
-3.86075475647006,40.3253119723,770,Madrid,Móstoles
-3.86036445293007,40.3252651678,771,Madrid,Móstoles
-3.86053128493007,40.3186123513,772,Madrid,Móstoles
-3.86053128493007,40.3186123513,773,Madrid,Móstoles
-3.86053128493007,40.3186123513,774,Madrid,Móstoles
-3.84072424622006,40.2940454321,775,Madrid,Fuenlabrada
-3.84072424622006,40.2940454321,776,Madrid,Fuenlabrada
-3.84096962843006,40.2935582077,777,Madrid,Fuenlabrada
-3.85315059908006,40.3248814634,778,Madrid,Móstoles
-3.85315059908006,40.3248814634,779,Madrid,Móstoles
-3.85563646694006,40.3290714375,780,Madrid,Móstoles
-3.86702611806007,40.3604881499,781,Madrid,Alcorcón
-3.86702611806007,40.3604881499,782,Madrid,Alcorcón
-3.86702611806007,40.3604881499,783,Madrid,Alcorcón
-3.92118213810009,40.3080316467999,784,Madrid,Móstoles
-3.67575622839002,40.3444507078,785,Madrid,Madrid
-3.67575622839002,40.3444507078,786,Madrid,Madrid
-3.58716293154001,40.0290633096,787,Madrid,Aranjuez
-3.58716293154001,40.0290633096,788,Madrid,Aranjuez
-3.58716293154001,40.0290633096,789,Madrid,Aranjuez
-3.77915399702004,40.37605858,790,Madrid,Madrid
-3.77915399702004,40.37605858,791,Madrid,Madrid
-3.77920690970004,40.3758724992,792,Madrid,Madrid
-3.83344312174006,40.3385691769,793,Madrid,Alcorcón
-3.83631199981006,40.340430391,794,Madrid,Alcorcón
-3.86907441290007,40.3265185546,795,Madrid,Móstoles
-3.86194144210007,40.3197893523,796,Madrid,Móstoles
-3.66422324554002,40.3611272667,797,Madrid,Madrid
-3.79412568529004,40.2881094862,798,Madrid,Fuenlabrada
-3.79412568529004,40.2881094862,799,Madrid,Fuenlabrada
-3.87220342416007,40.32019357,800,Madrid,Móstoles
-3.87220342416007,40.32019357,801,Madrid,Móstoles
-3.86228790741007,40.3278584635,802,Madrid,Móstoles
-3.86228790741007,40.3278584635,803,Madrid,Móstoles
-3.86228790741007,40.3278584635,804,Madrid,Móstoles
-3.86228790741007,40.3278584635,805,Madrid,Móstoles
-3.75154004928003,40.3460493554,807,Madrid,Leganés
-3.74077130667003,40.3781754136,808,Madrid,Madrid
-3.86071548183006,40.3240856949,809,Madrid,Móstoles
-3.86069834184007,40.3240609507,810,Madrid,Móstoles
-3.86069834184007,40.3240609507,811,Madrid,Móstoles
-3.86069834184007,40.3240609507,812,Madrid,Móstoles
-3.86160247821006,40.322143611,813,Madrid,Móstoles
-3.83741459239006,40.3321414063,814,Madrid,Alcorcón
-3.83741459239006,40.3321414063,815,Madrid,Alcorcón
-3.69650354090002,40.477628874,816,Madrid,Madrid
-3.85897041641006,40.3263094646,817,Madrid,Móstoles
-3.86283070322007,40.3321114102,818,Madrid,Móstoles
-3.86537434699007,40.3313312178,819,Madrid,Móstoles
-3.90415453800008,40.3004290869999,820,Madrid,Arroyomolinos
-3.96199097037011,40.4910137550999,821,Madrid,Villanueva del Pardillo
-3.85177149972006,40.3245889162,822,Madrid,Móstoles
-3.65487068909002,40.4247674856,823,Madrid,Madrid
-3.85779987611006,40.3186775707,824,Madrid,Móstoles
-3.85779987611006,40.3186775707,825,Madrid,Móstoles
-3.86681435970007,40.317874344,826,Madrid,Móstoles
-3.86000097361006,40.4621402124,827,Madrid,Majadahonda
-3.85346429057006,40.2211602481,828,Madrid,Griñón
-3.86684688139007,40.3126784336,830,Madrid,Móstoles
-3.86684688139007,40.3126784336,831,Madrid,Móstoles
-3.86684688139007,40.3126784336,832,Madrid,Móstoles
-3.86684688139007,40.3126784336,833,Madrid,Móstoles
-3.86684688139007,40.3126784336,834,Madrid,Móstoles
-3.86431027769007,40.3375453745,835,Madrid,Móstoles
-3.86431027769007,40.3375453745,836,Madrid,Móstoles
-4.0687096808602,40.4992020798999,837,Madrid,Valdemorillo
-3.73627001749003,40.4073362904,838,Madrid,Madrid
-3.73627001749003,40.4073362904,839,Madrid,Madrid
-3.73627001749003,40.4073362904,840,Madrid,Madrid
-3.86306351173007,40.3248874991,841,Madrid,Móstoles
-3.85001614274006,40.3193180322,842,Madrid,Móstoles
-3.85001614274006,40.3193180322,843,Madrid,Móstoles
-3.85001614274006,40.3193180322,844,Madrid,Móstoles
-3.84886494700006,40.3244361262,845,Madrid,Móstoles
-3.84960901868006,40.3262037868,846,Madrid,Móstoles
-3.91829224200009,40.284936497,847,Madrid,Arroyomolinos
-3.86349897648007,40.319359391,848,Madrid,Móstoles
-3.85742320302006,40.3170352151,849,Madrid,Móstoles
-3.86873574128007,40.321873868,850,Madrid,Móstoles
-3.68635033514002,40.365378323,851,Madrid,Madrid
-3.87122079447007,40.4749235303,852,Madrid,Majadahonda
-3.87122079447007,40.4749235303,853,Madrid,Majadahonda
